StudyID,Species,Taxon.group,Endo.Ecto,linear.coefs,linear.coefs.se,elevation,abs.Lat,Genus,family,order,class
61,Negaprion brevirostris,V,Ecto,-0.13,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
61,Negaprion brevirostris,V,Ecto,-0.12680955,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
158,Parus major,V,Endo,-0.124,0.057,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.124,0.052,-2,53.2833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,-0.121,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
75,Salmo salar,V,Ecto,-0.12,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
79,Phasianus colchicus,V,Endo,-0.12,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
61,Negaprion brevirostris,V,Ecto,-0.11748,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
11,Calopteryx splendens,I,Ecto,-0.116828,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
51,Poecilia reticulata,V,Ecto,-0.11,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
112,Zosterops lateralis chlorocephalus,V,Endo,-0.11,0.1,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,-0.11,0.05,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
37,Stegastes partitus,V,Ecto,-0.107,0.085,-2,23.7179,Stegastes,Pomacentridae,Blenniformes,Actinopterygii
11,Calopteryx splendens,I,Ecto,-0.101922,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
112,Zosterops lateralis chlorocephalus,V,Endo,-0.1,0.1,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
158,Parus major,V,Endo,-0.098,0.061,-2,53.2833,Parus,Paridae,Passeriformes,Ave
61,Negaprion brevirostris,V,Ecto,-0.0975744,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
158,Parus major,V,Endo,-0.097,0.068,10,51.641,Parus,Paridae,Passeriformes,Ave
61,Negaprion brevirostris,V,Ecto,-0.095,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
112,Zosterops lateralis chlorocephalus,V,Endo,-0.09,0.17,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.089037598,0.22842674,593,42.55,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.085820888,0.20407324,232,43.6667,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,-0.084062,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,-0.082,0.054,10,51.641,Parus,Paridae,Passeriformes,Ave
51,Poecilia reticulata,V,Ecto,-0.08,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
75,Salmo salar,V,Ecto,-0.08,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
11,Calopteryx splendens,I,Ecto,-0.07982,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
74,Oncorhynchus nerka,V,Ecto,-0.079,0.031,19,59.3217,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
144,Carpodacus mexicanus,V,Endo,-0.079,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,-0.077781,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,-0.075,0.064,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.075,0.048,10,51.641,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.074139966,0.16146162,593,42.55,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,-0.071,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
132,Anolis sagrei,V,Ecto,-0.07,0.15,-1,23.4833,Anolis,Dactyloidae,Squamata,Reptilia
